,load_kW,ev_kW,power_kW,flow_kW,energy_kWh
0,0.051,0.001,-0.357,0.409,3.905
1,0.051,0.001,-0.433,0.485,3.959
2,0.051,0.001,-0.433,0.485,4.026
3,0.051,0.001,-0.433,0.485,4.092
4,0.171,0.0,-0.314,0.485,4.159
5,0.171,0.001,-0.313,0.485,4.207
6,0.051,0.001,-0.433,0.485,4.255
7,0.051,0.001,-0.433,0.485,4.321
8,0.051,0.001,-0.433,0.485,4.388
9,0.051,0.001,-0.433,0.485,4.454
10,0.268,0.0,-0.217,0.485,4.521
11,0.268,0.001,-0.216,0.485,4.554
12,0.051,0.001,-0.433,0.485,4.587
13,0.051,0.001,-0.433,0.485,4.654
14,0.051,0.001,-0.433,0.485,4.72
15,0.051,0.0,-0.434,0.485,4.786
16,0.051,0.001,-0.433,0.485,4.853
17,0.171,0.001,-0.313,0.485,4.919
18,0.38799999999999996,0.001,-0.096,0.485,4.967
19,0.268,0.001,-0.216,0.485,4.982
20,0.051,0.0,-0.434,0.485,5.015
21,0.051,0.001,-0.433,0.485,5.082
22,0.051,0.001,-0.433,0.485,5.148
23,0.051,0.001,-0.433,0.485,5.215
24,0.38799999999999996,0.001,-0.096,0.485,5.281
25,0.38799999999999996,0.001,-0.096,0.485,5.296
26,0.268,0.0,-0.217,0.485,5.311
27,0.051,0.001,-0.433,0.485,5.344
28,0.051,0.001,-0.433,0.485,5.411
29,0.051,0.001,-0.433,0.485,5.477
30,0.051,0.001,-0.433,0.485,5.543
31,0.051,0.0,-0.434,0.485,5.61
32,0.268,0.001,-0.216,0.485,5.676
33,0.268,0.001,-0.216,0.485,5.71
34,0.171,0.001,-0.313,0.485,5.743
35,0.051,0.001,-0.433,0.485,5.791
36,0.051,0.0,-0.434,0.485,5.857
37,0.051,0.001,-0.433,0.485,5.924
38,0.051,0.001,-0.433,0.485,5.99
39,0.051,0.001,-0.433,0.485,6.057
40,0.268,0.001,-0.216,0.485,6.123
41,0.268,0.001,-0.216,0.485,6.156
42,0.051,0.0,-0.434,0.485,6.189
43,3.158,0.001,2.674,0.485,6.256
44,3.3369999999999997,0.001,2.853,0.485,5.846
45,0.051,0.001,-0.433,0.485,5.409
46,0.051,0.001,-0.433,0.485,5.475
47,0.467,0.0,-0.018,0.485,5.542
48,0.8370000000000001,0.001,0.353,0.485,5.544
49,0.9109999999999999,0.001,0.427,0.485,5.49
50,0.051,0.001,-0.433,0.485,5.425
51,0.051,0.001,-0.433,0.485,5.491
52,0.051,0.0,-0.434,0.485,5.558
53,0.051,0.001,-0.433,0.485,5.624
54,0.38799999999999996,0.001,-0.096,0.485,5.691
55,0.38799999999999996,0.001,-0.096,0.485,5.705
56,0.051,0.001,-0.433,0.485,5.72
57,0.051,0.0,-0.434,0.485,5.787
58,0.051,0.001,-0.433,0.485,5.853
59,0.051,0.001,-0.433,0.485,5.92
60,0.051,0.001,-0.433,0.485,5.986
61,0.268,0.001,-0.216,0.485,6.053
62,0.268,0.0,-0.217,0.485,6.086
63,0.268,0.001,-0.216,0.485,6.119
64,0.051,0.001,-0.433,0.485,6.152
65,0.051,0.001,-0.433,0.485,6.219
66,0.051,0.001,-0.433,0.485,6.285
67,0.051,0.001,-0.433,0.485,6.352
68,0.051,0.0,-0.434,0.485,6.418
69,0.051,0.001,-0.433,0.485,6.485
70,0.38799999999999996,0.001,-0.096,0.485,6.551
71,0.38799999999999996,0.001,-0.096,0.485,6.566
72,0.268,0.001,-0.216,0.485,6.581
73,0.051,0.0,-0.434,0.485,6.614
74,0.051,0.001,-0.433,0.485,6.68
75,0.051,0.001,-0.433,0.485,6.747
76,0.051,0.001,-0.433,0.485,6.813
77,0.268,0.001,-0.216,0.485,6.88
78,0.268,0.0,-0.217,0.485,6.913
79,0.268,0.001,-0.216,0.485,6.946
80,0.051,0.001,-0.433,0.485,6.979
81,0.051,0.001,-0.433,0.485,7.046
82,0.171,0.001,-0.313,0.485,7.112
83,0.171,0.0,-0.314,0.485,7.16
84,0.051,0.001,-0.433,0.485,7.208
85,0.268,0.001,-0.216,0.485,7.275
86,0.268,0.001,-0.216,0.485,7.308
87,0.051,0.001,-0.433,0.485,7.341
88,0.051,0.001,-0.433,0.485,7.407
89,0.051,0.0,-0.434,0.485,7.474
90,0.171,0.001,-0.313,0.485,7.541
91,0.051,0.001,-0.433,0.485,7.589
92,0.268,0.001,-0.216,0.485,7.655
93,0.40700000000000003,0.001,-0.077,0.485,7.688
94,3.2969999999999997,0.0,2.735,0.562,7.7
95,3.392,0.001,2.831,0.562,7.281
96,0.405,0.001,-0.156,0.562,6.847
97,0.505,0.001,-0.056,0.562,6.87
98,0.6579999999999999,0.001,0.097,0.562,6.879
99,0.535,0.0,-0.027,0.562,6.864
100,0.485,0.001,-0.076,0.562,6.868
101,0.45,0.001,-0.111,0.562,6.88
102,0.607,0.001,0.046,0.562,6.897
103,0.782,0.001,0.221,0.562,6.89
104,0.51,0.0,-0.052,0.562,6.856
105,0.39,0.001,-0.171,0.562,6.864
106,0.39,0.001,-0.171,0.562,6.89
107,0.521,0.001,-0.04,0.562,6.917
108,0.446,0.001,-0.115,0.562,6.923
109,0.6609999999999999,0.001,0.1,0.562,6.94
110,3.8369999999999997,0.0,3.0,0.837,6.925
111,3.861,0.001,3.0,0.862,6.465
112,0.794,0.001,0.233,0.562,6.005
113,0.794,0.001,0.233,0.562,5.969
114,0.951,0.001,0.39,0.562,5.934
115,0.9740000000000001,0.0,0.412,0.562,5.874
116,0.633,0.001,0.072,0.562,5.811
117,0.675,0.001,0.114,0.562,5.8
118,0.759,0.001,0.198,0.562,5.782
119,0.575,0.001,0.014,0.562,5.752
120,3.742,0.0,3.0,0.742,5.75
121,4.083,0.001,3.0,1.084,5.29
122,0.9309999999999999,0.001,0.37,0.562,4.83
123,0.764,0.001,0.203,0.562,4.773
124,0.809,0.001,0.248,0.562,4.742
125,0.7490000000000001,0.0,0.187,0.562,4.704
126,0.7829999999999999,0.001,0.222,0.562,4.675
127,0.7929999999999999,0.001,0.232,0.562,4.641
128,0.693,0.001,0.132,0.562,4.605
129,0.6729999999999999,0.001,0.112,0.562,4.585
130,0.9890000000000001,0.001,0.428,0.562,4.568
131,0.8740000000000001,0.0,0.312,0.562,4.502
132,4.072,0.001,3.0,1.073,4.455
133,3.667,0.001,3.0,0.668,3.995
134,0.649,0.001,0.088,0.562,3.535
135,0.38,0.001,-0.181,0.562,3.521
136,0.34,0.0,-0.222,0.562,3.549
137,0.34,0.001,-0.221,0.562,3.583
138,0.051,0.001,-0.51,0.562,3.617
139,0.171,0.001,-0.39,0.562,3.695
140,0.171,0.001,-0.39,0.562,3.755
141,0.268,0.0,-0.294,0.562,3.815
142,0.268,0.001,-0.293,0.562,3.86
143,0.051,0.001,-0.357,0.409,3.905
