,load_kW,ev_kW,power_kW,flow_kW,energy_kWh
0,0.048,0.0,-0.314,0.362,3.898
1,0.048,0.006,-0.279,0.333,3.946
2,0.048,0.006,-0.271,0.325,3.989
3,0.048,0.006,-0.234,0.288,4.031
4,0.048,0.006,-0.234,0.288,4.066
5,0.133,0.0,-0.227,0.36,4.102
6,0.048,0.006,-0.246,0.3,4.137
7,0.048,0.006,-0.323,0.377,4.175
8,0.249,0.006,-0.345,0.6,4.224
9,0.249,0.006,-0.369,0.624,4.277
10,0.048,0.0,-0.402,0.45,4.334
11,0.048,0.006,-0.388,0.442,4.396
12,0.048,0.006,-0.411,0.465,4.455
13,0.048,0.006,-0.411,0.465,4.518
14,0.249,0.006,-0.381,0.636,4.581
15,0.249,0.006,-0.358,0.613,4.639
16,0.048,0.0,-0.387,0.435,4.694
17,0.048,0.006,-0.392,0.446,4.754
18,0.048,0.006,-0.353,0.407,4.814
19,0.048,0.006,-0.37,0.424,4.868
20,0.048,0.006,-0.397,0.451,4.925
21,0.048,0.0,-0.375,0.423,4.985
22,0.048,0.006,-0.374,0.428,5.043
23,0.048,0.006,-0.394,0.448,5.1
24,0.249,0.006,-0.361,0.616,5.161
25,0.249,0.006,-0.341,0.596,5.216
26,0.048,0.0,-0.378,0.426,5.268
27,0.048,0.006,-0.393,0.447,5.326
28,0.048,0.006,-0.385,0.439,5.386
29,0.048,0.006,-0.4,0.454,5.446
30,0.048,0.006,-0.39,0.444,5.507
31,0.249,0.006,-0.396,0.651,5.567
32,0.249,0.0,-0.376,0.625,5.627
33,0.048,0.006,-0.373,0.427,5.685
34,0.048,0.006,-0.362,0.416,5.742
35,0.048,0.006,-0.372,0.426,5.798
36,0.048,0.006,-0.372,0.426,5.855
37,0.048,0.0,-0.389,0.437,5.912
38,0.048,0.006,-0.397,0.451,5.972
39,0.048,0.006,-0.358,0.412,6.033
40,0.249,0.006,-0.234,0.489,6.087
41,0.249,0.006,-0.223,0.478,6.123
42,0.048,0.0,-0.282,0.33,6.157
43,0.048,0.006,-0.153,0.207,6.201
44,0.048,0.006,0.047,0.007,6.224
45,0.048,0.006,-0.126,0.18,6.217
46,0.048,0.006,-0.133,0.187,6.236
47,0.249,0.0,-0.081,0.33,6.257
48,0.294,0.006,0.078,0.222,6.269
49,0.168,0.006,-0.049,0.223,6.257
50,0.28800000000000003,0.006,-0.092,0.386,6.265
51,0.228,0.006,-0.045,0.279,6.279
52,0.268,0.006,-0.102,0.376,6.286
53,0.228,0.0,-0.062,0.29,6.301
54,0.419,0.006,-0.114,0.539,6.311
55,0.359,0.006,-0.165,0.53,6.328
56,0.048,0.006,-0.001,0.055,6.354
57,0.048,0.006,0.179,-0.125,6.354
58,0.175,0.0,-0.013,0.188,6.326
59,0.235,0.006,0.15,0.091,6.328
60,0.048,0.006,0.099,-0.045,6.306
61,0.048,0.006,0.131,-0.077,6.29
62,0.048,0.006,0.07,-0.016,6.27
63,0.048,0.0,0.222,-0.174,6.259
64,0.048,0.006,-0.151,0.205,6.225
65,0.048,0.006,-0.084,0.138,6.248
66,0.048,0.006,-0.05,0.104,6.261
67,0.048,0.006,-0.082,0.136,6.269
68,0.048,0.0,0.059,-0.011,6.282
69,0.249,0.006,0.139,0.116,6.273
70,0.249,0.006,0.109,0.146,6.251
