,installations_percent,cooperation_percent,load_factor,voltage_factor,lv_load_factor,lv_voltage_factor
0,0.0,0.0,0.029336770197846165,0.9959714070295339,1.0,0.9999214837183612
1,0.0,25.0,0.029336770197846165,0.9959714070295339,1.0,0.9999214837183612
2,0.0,50.0,0.029336770197846165,0.9959714070295339,1.0,0.9999214837183612
3,0.0,75.0,0.029336770197846165,0.9959714070295339,1.0,0.9999214837183612
4,0.0,100.0,0.029336770197846165,0.9959714070295339,1.0,0.9999214837183612
5,10.0,0.0,0.029877986018882266,0.9960531828539297,1.0,0.9999265248827635
6,10.0,25.0,0.029877986018882266,0.9960531828539297,1.0,0.9999265248827635
7,10.0,50.0,0.030084966150170218,0.9960807458297904,1.0,0.9999287781973275
8,10.0,75.0,0.030176211548202273,0.9960887271081832,1.0,0.9999289372445678
9,10.0,100.0,0.03038844528983614,0.9960923480333346,1.0,0.9999291541138952
10,20.0,0.0,0.030343903689733824,0.9961146885455191,1.0,0.9999337806757342
11,20.0,25.0,0.030550883817727265,0.9961422646643832,1.0,0.999936037242565
12,20.0,50.0,0.030854362965010738,0.9961538757836326,1.0,0.9999364139428376
13,20.0,75.0,0.03110686753758978,0.9961505565669104,1.0,0.9999368355578545
14,20.0,100.0,0.03150470497087833,0.9961918258693668,1.0,0.9999399570688794
15,30.0,0.0,0.030362901946572124,0.9961814914145128,1.0,0.9999393992070265
16,30.0,25.0,0.03082895367243823,0.9962224791769643,1.0,0.9999420433644755
17,30.0,50.0,0.031125865794672917,0.9962173759697179,1.0,0.9999424576382199
18,30.0,75.0,0.03147896476485906,0.9962555195499874,1.0,0.9999455620572201
19,30.0,100.0,0.03154881307383429,0.9962549977802009,1.0,0.9999456021817388
20,40.0,0.0,0.030386202861532565,0.9962670742304299,1.0,0.9999466374133509
21,40.0,25.0,0.03089666212212622,0.9963062782838951,1.0,0.9999492755218439
22,40.0,50.0,0.0315470041034221,0.9963442758317057,1.0,0.9999528305085207
23,40.0,75.0,0.03157211394252785,0.9963406006662098,1.0,0.9999528494886456
24,40.0,100.0,0.03171189320497077,0.9963443324544506,1.0,0.9999533607024769
25,50.0,0.0,0.03040586327999386,0.9963379690579908,1.0,0.9999526646959888
26,50.0,25.0,0.03097755613075418,0.9963729076391544,1.0,0.999955311710457
27,50.0,50.0,0.031522556870160694,0.9964122328369265,1.0,0.9999588548805763
28,50.0,75.0,0.03173826537795055,0.9964167945477228,1.0,0.9999593887675496
29,50.0,100.0,0.03194248424473102,0.9964245807214057,1.0,0.9999602649512245
30,60.0,0.0,0.03043192534585364,0.9964400125741956,1.0,0.9999613611160194
31,60.0,25.0,0.03119488916505013,0.9964759498434856,1.0,0.9999644323831829
32,60.0,50.0,0.03161783636628348,0.9965135898840738,1.0,0.9999675921563937
33,60.0,75.0,0.0318234823034048,0.9965295063858367,1.0,0.9999690159909258
34,60.0,100.0,0.03243124711687071,0.9965302409230926,1.0,0.9999692097873984
35,70.0,0.0,0.030863921962859926,0.9964736249054055,1.0,0.9999688456325899
36,70.0,25.0,0.031801341015662773,0.9965520933591913,1.0,0.999975062313841
37,70.0,50.0,0.03212719972119875,0.9965456243105466,1.0,0.999975081613859
38,70.0,75.0,0.032458353345666324,0.9965602748082467,1.0,0.9999765089521699
39,70.0,100.0,0.03308867338155592,0.9965709806502973,1.0,0.9999772675261318
40,80.0,0.0,0.03157865164911834,0.996437950766197,1.0,0.9999736708220499
41,80.0,25.0,0.03273945282240488,0.996400822557459,1.0,0.9999799046782588
42,80.0,50.0,0.03290434189501603,0.9965153400765182,1.0,0.9999804432376157
43,80.0,75.0,0.033577973378570304,0.996514938433561,1.0,0.9999815509972804
44,80.0,100.0,0.033878163640119356,0.9965258286443719,1.0,0.9999820227369844
45,90.0,0.0,0.03629984298644728,0.9964398069604126,1.0,0.9999783994346068
46,90.0,25.0,0.03756620070691187,0.9965140181943687,1.0,0.9999846199593034
47,90.0,50.0,0.03787879449621383,0.9965294443748474,1.0,0.9999860961000049
48,90.0,75.0,0.0385799507700097,0.9965348976849214,1.0,0.999986659810047
49,90.0,100.0,0.035111612954566024,0.9965519783553286,1.0,0.999990911238948
50,100.0,0.0,0.043128468797730586,0.9964528087642317,1.0,0.99998594514885
51,100.0,25.0,0.044608787098504674,0.9965076847252784,1.0,0.999992188939975
52,100.0,50.0,0.04516545671040493,0.9965311825745043,1.0,0.9999936206501199
53,100.0,75.0,0.04180265340972374,0.9965411413670543,1.0,0.9999943695222901
54,100.0,100.0,0.035888447332108935,0.9965605561261005,1.0,0.9999991592580668
