,load_kW,generation_kW,ev_kW,power_kW,flow_kW,energy_kWh
0,0.054000000000000006,0.0,0.006,0.292,-0.232,3.805
1,0.054000000000000006,0.0,0.006,0.135,-0.075,3.76
2,0.054000000000000006,0.0,0.006,0.135,-0.075,3.74
3,0.266,0.0,0.006,0.347,-0.075,3.719
4,0.054000000000000006,0.0,0.0,0.129,-0.075,3.666
5,0.16899999999999998,0.0,0.006,0.25,-0.075,3.646
6,0.16899999999999998,0.0,0.006,0.25,-0.075,3.608
7,0.054000000000000006,0.0,0.006,0.135,-0.075,3.569
8,0.054000000000000006,0.0,0.006,0.135,-0.075,3.549
9,0.054000000000000006,0.0,0.006,0.135,-0.075,3.528
10,0.054000000000000006,0.0,0.0,0.129,-0.075,3.507
11,0.266,0.0,0.006,0.347,-0.075,3.487
12,0.16899999999999998,0.0,0.006,0.25,-0.075,3.434
13,0.16899999999999998,0.0,0.006,0.25,-0.075,3.396
14,0.054000000000000006,0.0,0.006,0.135,-0.075,3.357
15,0.054000000000000006,0.0,0.0,0.129,-0.075,3.337
16,0.054000000000000006,0.0,0.006,0.135,-0.075,3.317
17,0.054000000000000006,0.0,0.006,0.135,-0.075,3.296
18,0.054000000000000006,0.0,0.006,0.135,-0.075,3.275
19,0.266,0.0,0.006,0.347,-0.075,3.255
20,0.16899999999999998,0.0,0.0,0.244,-0.075,3.201
21,0.054000000000000006,0.0,0.006,0.135,-0.075,3.164
22,0.054000000000000006,0.0,0.006,0.135,-0.075,3.143
23,0.054000000000000006,0.0,0.006,0.135,-0.075,3.123
24,0.054000000000000006,0.0,0.006,0.135,-0.075,3.102
25,0.16899999999999998,0.0,0.0,0.244,-0.075,3.081
26,0.381,0.0,0.006,0.462,-0.075,3.044
27,0.054000000000000006,0.0,0.006,0.135,-0.075,2.973
28,0.054000000000000006,0.0,0.006,0.135,-0.075,2.952
29,0.054000000000000006,0.0,0.006,0.135,-0.075,2.931
30,0.054000000000000006,0.0,0.006,0.135,-0.075,2.911
31,0.16899999999999998,0.0,0.0,0.244,-0.075,2.89
32,0.16899999999999998,0.0,0.006,0.25,-0.075,2.853
33,0.266,0.0,0.006,0.347,-0.075,2.814
34,0.266,0.0,0.006,0.347,-0.075,2.761
35,0.054000000000000006,0.0,0.006,0.135,-0.075,2.708
36,0.054000000000000006,0.0,0.0,0.129,-0.075,2.687
37,0.062,0.0,0.006,0.143,-0.075,2.667
38,0.287,0.0,0.006,0.368,-0.075,2.645
39,0.16899999999999998,0.1,0.006,0.15,-0.075,2.589
40,0.054000000000000006,0.1,0.006,0.035,-0.075,2.566
41,0.054000000000000006,0.1,0.0,0.029,-0.075,2.56
42,0.266,0.1,0.006,0.247,-0.075,2.556
43,0.054000000000000006,0.1,0.006,0.035,-0.075,2.518
44,0.054000000000000006,0.1,0.006,0.035,-0.075,2.513
45,0.16899999999999998,0.3,0.006,-0.05,-0.075,2.507
46,0.16899999999999998,0.3,0.006,-0.05,-0.075,2.515
47,0.054000000000000006,0.3,0.0,-0.171,-0.075,2.523
48,0.075,0.3,0.006,-0.144,-0.075,2.549
49,0.287,0.3,0.006,0.068,-0.075,2.571
50,0.266,0.3,0.006,0.047,-0.075,2.56
51,0.054000000000000006,0.6,0.006,-0.465,-0.075,2.553
52,0.054000000000000006,0.6,0.0,-0.471,-0.075,2.625
53,0.054000000000000006,0.6,0.006,-0.465,-0.075,2.697
54,0.19,0.6,0.006,-0.329,-0.075,2.768
55,1.149,0.6,0.006,0.63,-0.075,2.818
56,0.075,0.6,0.006,-0.444,-0.075,2.722
57,0.075,1.0,0.0,-0.85,-0.075,2.79
58,0.054000000000000006,1.0,0.006,-0.865,-0.075,2.92
59,0.054000000000000006,1.0,0.006,-0.865,-0.075,3.053
60,0.326,1.0,0.006,-0.593,-0.075,3.185
61,0.326,1.0,0.006,-0.593,-0.075,3.276
62,0.114,1.0,0.0,-0.811,-0.075,3.367
63,0.114,1.6,0.006,-1.405,-0.075,3.492
64,0.114,1.6,0.006,-1.405,-0.075,3.707
65,3.4019999999999997,1.6,0.006,1.883,-0.075,3.922
66,3.4019999999999997,1.6,0.006,1.883,-0.075,3.634
67,0.114,1.6,0.0,-1.411,-0.075,3.345
68,0.22899999999999998,1.6,0.006,-1.29,-0.075,3.561
69,0.441,2.0,0.006,-1.478,-0.075,3.759
70,0.114,2.0,0.006,-1.805,-0.075,3.986
71,3.4019999999999997,2.0,0.006,1.483,-0.075,4.262
72,3.4019999999999997,2.0,0.006,1.483,-0.075,4.035
73,0.114,2.0,0.0,-1.811,-0.075,3.808
74,0.127,2.0,0.006,-1.792,-0.075,4.085
75,0.23199999999999998,2.2,0.006,-1.887,-0.075,4.36
76,0.34700000000000003,2.2,0.006,-1.772,-0.075,4.649
77,0.5589999999999999,2.2,0.006,-1.56,-0.075,4.921
78,0.23199999999999998,2.2,0.0,-1.893,-0.075,5.16
79,3.52,2.2,0.006,1.401,-0.075,5.45
80,3.5069999999999997,2.2,0.006,1.388,-0.075,5.236
81,0.21899999999999997,2.0,0.006,-1.7,-0.075,5.023
82,3.447,2.0,0.006,1.528,-0.075,5.283
83,3.342,2.0,0.0,1.417,-0.075,5.049
84,0.266,2.0,0.006,-1.653,-0.075,4.832
85,3.6689999999999996,2.0,0.006,1.75,-0.075,5.085
86,3.477,2.0,0.006,1.558,-0.075,4.817
87,0.07400000000000001,1.8,0.006,-1.645,-0.075,4.578
88,0.07400000000000001,1.8,0.006,-1.645,-0.075,4.83
89,0.054000000000000006,1.8,0.0,-1.671,-0.075,5.082
90,0.054000000000000006,1.8,0.006,-1.665,-0.075,5.339
91,0.054000000000000006,1.8,0.006,-1.665,-0.075,5.594
92,0.266,1.8,0.006,-1.453,-0.075,5.849
93,0.266,1.4,0.006,-1.053,-0.075,6.072
94,0.054000000000000006,1.4,0.0,-1.271,-0.075,6.233
95,0.16899999999999998,1.4,0.006,-1.15,-0.075,6.428
96,0.16899999999999998,1.4,0.006,-1.15,-0.075,6.605
97,0.159,1.4,0.006,-1.16,-0.075,6.781
98,0.172,1.4,0.006,-1.147,-0.075,6.959
99,0.172,1.0,0.0,-0.753,-0.075,7.135
100,0.23199999999999998,1.0,0.006,-0.687,-0.075,7.25
101,0.444,1.0,0.006,-0.475,-0.075,7.355
102,0.292,1.0,0.006,-0.627,-0.075,7.428
103,0.273,1.0,0.006,-0.646,-0.075,7.524
104,0.425,1.0,0.0,-0.5,-0.075,7.623
105,0.53,0.4,0.006,0.054,0.082,7.7
106,0.483,0.4,0.006,0.007,0.082,7.692
107,3.83,0.4,0.006,3.0,0.436,7.691
108,4.122,0.4,0.006,3.0,0.728,7.231
109,0.5820000000000001,0.4,0.0,0.1,0.082,6.771
110,0.622,0.4,0.006,0.146,0.082,6.755
111,0.583,0.1,0.006,0.407,0.082,6.733
112,0.57,0.1,0.006,0.394,0.082,6.67
113,0.52,0.1,0.006,0.344,0.082,6.61
114,0.561,0.1,0.006,0.385,0.082,6.557
115,0.535,0.1,0.0,0.353,0.082,6.498
116,1.2930000000000001,0.1,0.006,1.117,0.082,6.444
117,0.725,0.0,0.006,0.649,0.082,6.273
118,0.575,0.0,0.006,0.499,0.082,6.173
119,3.8930000000000002,0.0,0.006,3.0,0.899,6.097
120,3.8930000000000002,0.0,0.0,3.0,0.893,5.637
121,0.695,0.0,0.006,0.619,0.082,5.177
122,0.619,0.0,0.006,0.543,0.082,5.082
123,0.479,0.0,0.006,0.403,0.082,4.998
124,0.725,0.0,0.006,0.649,0.082,4.937
125,0.513,0.0,0.0,0.431,0.082,4.837
126,0.698,0.0,0.006,0.622,0.082,4.771
127,0.698,0.0,0.006,0.622,0.082,4.675
128,0.469,0.0,0.006,0.393,0.082,4.58
129,0.529,0.0,0.006,0.453,0.082,4.52
130,0.569,0.0,0.0,0.487,0.082,4.45
131,0.589,0.0,0.006,0.513,0.082,4.376
132,0.509,0.0,0.006,0.433,0.082,4.297
133,0.624,0.0,0.006,0.548,0.082,4.231
134,0.537,0.0,0.006,0.461,0.082,4.146
135,0.517,0.0,0.006,0.441,0.082,4.076
136,0.789,0.0,0.0,0.707,0.082,4.008
137,0.5770000000000001,0.0,0.006,0.501,0.082,3.9
138,0.054000000000000006,0.0,0.006,-0.022,0.082,3.823
139,0.16899999999999998,0.0,0.006,0.093,0.082,3.826
140,0.16899999999999998,0.0,0.006,0.093,0.082,3.812
141,0.054000000000000006,0.0,0.0,-0.028,0.082,3.798
142,0.054000000000000006,0.0,0.006,-0.022,0.082,3.802
143,0.054000000000000006,0.0,0.006,0.292,-0.232,3.805
