,load_kW,generation_kW,ev_kW,power_kW,flow_kW,energy_kWh
0,0.053,0.0,0.001,0.415,-0.361,3.786
1,0.053,0.0,0.001,0.353,-0.299,3.723
2,0.053,0.0,0.0,0.353,-0.3,3.669
3,0.223,0.0,0.001,0.369,-0.145,3.614
4,0.223,0.0,0.001,0.363,-0.139,3.558
5,0.053,0.0,0.001,0.368,-0.314,3.502
6,0.053,0.0,0.001,0.377,-0.323,3.446
7,0.053,0.0,0.0,0.352,-0.299,3.388
8,0.053,0.0,0.001,0.366,-0.312,3.334
9,0.053,0.0,0.001,0.376,-0.322,3.278
10,0.053,0.0,0.001,0.357,-0.303,3.22
11,0.053,0.0,0.001,0.332,-0.278,3.165
12,0.053,0.0,0.0,0.324,-0.271,3.115
13,0.053,0.0,0.001,0.336,-0.282,3.065
14,0.223,0.0,0.001,0.34,-0.116,3.013
15,0.223,0.0,0.001,0.362,-0.138,2.961
16,0.053,0.0,0.001,0.36,-0.306,2.906
17,0.053,0.0,0.0,0.344,-0.291,2.85
18,0.053,0.0,0.001,0.358,-0.304,2.798
19,0.053,0.0,0.001,0.345,-0.291,2.743
20,0.053,0.0,0.001,0.344,-0.29,2.69
21,0.053,0.0,0.001,0.411,-0.357,2.637
22,0.223,0.0,0.001,0.414,-0.19,2.574
23,0.223,0.0,0.0,0.351,-0.128,2.511
24,0.053,0.0,0.001,0.363,-0.309,2.457
25,0.053,0.0,0.001,0.369,-0.315,2.401
26,0.053,0.0,0.001,0.353,-0.299,2.344
27,0.053,0.0,0.001,0.34,-0.286,2.29
28,0.053,0.0,0.0,0.358,-0.305,2.238
29,0.053,0.0,0.001,0.354,-0.3,2.183
30,0.053,0.0,0.001,0.352,-0.298,2.129
31,0.223,0.0,0.001,0.357,-0.133,2.075
32,0.223,0.0,0.001,0.343,-0.119,2.02
33,0.053,0.0,0.0,0.349,-0.296,1.968
34,0.053,0.0,0.001,0.371,-0.317,1.914
35,0.053,0.0,0.001,0.372,-0.318,1.857
36,0.053,0.0,0.001,0.402,-0.348,1.8
37,0.053,0.0,0.001,0.365,-0.311,1.739
38,0.053,0.0,0.0,0.363,-0.31,1.683
39,0.115,0.1,0.001,0.29,-0.274,1.627
40,0.115,0.1,0.001,0.343,-0.327,1.583
41,0.053,0.1,0.001,0.485,-0.531,1.53
42,0.223,0.1,0.001,0.441,-0.317,1.456
43,0.223,0.1,0.001,0.665,-0.541,1.388
44,0.053,0.1,0.0,0.552,-0.599,1.286
45,0.053,0.3,0.001,0.231,-0.477,1.201
46,0.113,0.3,0.001,0.267,-0.453,1.166
47,0.073,0.3,0.001,0.337,-0.563,1.125
48,0.073,0.3,0.001,0.455,-0.681,1.073
49,0.413,0.3,0.0,0.334,-0.221,1.004
50,0.28300000000000003,0.3,0.001,0.335,-0.351,0.952
51,0.113,0.6,0.001,0.168,-0.654,0.901
52,0.113,0.6,0.001,0.088,-0.574,0.875
53,0.213,0.6,0.001,0.121,-0.507,0.862
54,0.233,0.6,0.0,0.072,-0.439,0.843
55,0.253,0.6,0.001,0.107,-0.453,0.832
56,2.391,0.6,0.001,0.199,1.593,0.816
57,2.271,1.0,0.001,-0.168,1.44,0.785
58,0.44299999999999995,1.0,0.001,-0.329,-0.227,0.811
59,0.44299999999999995,1.0,0.0,-0.216,-0.341,0.861
60,0.253,1.0,0.001,-0.267,-0.479,0.894
61,0.245,1.0,0.001,-0.326,-0.428,0.935
62,0.305,1.0,0.001,-0.116,-0.578,0.985
63,0.45899999999999996,1.6,0.001,-0.893,-0.247,1.003
64,0.479,1.6,0.0,-1.008,-0.113,1.14
65,0.7390000000000001,1.6,0.001,-1.069,0.209,1.295
