,installations_percent,cooperation_percent,load_factor,voltage_factor,lv_load_factor,lv_voltage_factor
0,0.0,0.0,0.06780635498895786,0.9736087156195372,1.0,0.9995835440734367
1,0.0,25.0,0.06780635498895786,0.9736087156195372,1.0,0.9995835440734367
2,0.0,50.0,0.06780635498895786,0.9736087156195372,1.0,0.9995835440734367
3,0.0,75.0,0.06780635498895786,0.9736087156195372,1.0,0.9995835440734367
4,0.0,100.0,0.06780635498895786,0.9736087156195372,1.0,0.9995835440734367
5,10.0,0.0,0.06359136918882984,0.9743566692518787,1.0,0.9996200992504591
6,10.0,25.0,0.06359136918882984,0.9743566692518787,1.0,0.9996200992504591
7,10.0,50.0,0.06391749208647127,0.9743601788517503,1.0,0.9996200977091331
8,10.0,75.0,0.06410594800007674,0.9743617691796036,1.0,0.9996201965944851
9,10.0,100.0,0.06511946781115663,0.9743614175913751,1.0,0.9996205600264944
10,20.0,0.0,0.05856629034351167,0.9758560903938275,1.0,0.9996648104171844
11,20.0,25.0,0.05889241323775433,0.9758596993246474,1.0,0.9996648139492988
12,20.0,50.0,0.06009438896912954,0.9759184390688734,1.0,0.9996650651964364
13,20.0,75.0,0.061288022119530654,0.97592301791741,1.0,0.9996658858563975
14,20.0,100.0,0.06261007717049659,0.9759368153557442,1.0,0.9996668277510308
15,30.0,0.0,0.05537102219329036,0.977239892336569,1.0,0.9996987506928273
16,30.0,25.0,0.05650507775184408,0.9772762540676194,1.0,0.9996988023315548
17,30.0,50.0,0.058092753266576334,0.9772912611025559,1.0,0.9996998602722814
18,30.0,75.0,0.05951011628149799,0.9773278006793465,1.0,0.9997010933011197
19,30.0,100.0,0.0604611461215954,0.9773735965735958,1.0,0.9997022004769596
20,40.0,0.0,0.051212478950284794,0.9794030302200375,1.0,0.9997399485775128
21,40.0,25.0,0.05274057761268475,0.9794222799145692,1.0,0.9997404135799671
22,40.0,50.0,0.055256265064124115,0.9794407102366991,1.0,0.9997422196553266
23,40.0,75.0,0.05630260348477369,0.97951597484359,1.0,0.9997435232363103
24,40.0,100.0,0.05782413592395925,0.9795127958769907,1.0,0.9997451042075329
25,50.0,0.0,0.04784423199230624,0.9813259366902013,1.0,0.9997724996878874
26,50.0,25.0,0.04953054870296182,0.9813387334718037,1.0,0.9997734380490703
27,50.0,50.0,0.05243330485624638,0.9813822344481771,1.0,0.9997754816490856
28,50.0,75.0,0.054236206780436204,0.9814811107411485,1.0,0.9997775506995105
29,50.0,100.0,0.05622546643710237,0.9815242440800934,1.0,0.9997781383571847
30,60.0,0.0,0.04359034650681526,0.9836596698978028,1.0,0.9998129924983444
31,60.0,25.0,0.046312077574447386,0.9838025428562313,1.0,0.9998142227399405
32,60.0,50.0,0.04868047089017449,0.9837961395279968,1.0,0.9998165400998739
33,60.0,75.0,0.05154866986463276,0.9837534344498648,1.0,0.9998185972001197
34,60.0,100.0,0.054375410853668565,0.9837889545399109,1.0,0.9998205465098289
35,70.0,0.0,0.03968578591540221,0.9858881117440416,1.0,0.9998514469195516
36,70.0,25.0,0.04308625049857409,0.9859818723875732,1.0,0.9998532067909945
37,70.0,50.0,0.04563046175006954,0.9860059790960558,1.0,0.9998564923389004
38,70.0,75.0,0.04801485052279565,0.985987681218292,1.0,0.9998579765444199
39,70.0,100.0,0.0521923428940829,0.9860594887425139,1.0,0.9998615468766097
40,80.0,0.0,0.03636948349524322,0.9894233312330492,1.0,0.9998935068867074
41,80.0,25.0,0.04041326942981758,0.989579558631983,1.0,0.9998957243235368
42,80.0,50.0,0.042981140194225956,0.9895357149066909,1.0,0.9998989566294357
43,80.0,75.0,0.047154546038017484,0.9895543232898589,1.0,0.9999011398787778
44,80.0,100.0,0.04983444852240682,0.9896126158723824,1.0,0.9999047294549447
45,90.0,0.0,0.03232832176593793,0.9926868565543929,1.0,0.9999320787559742
46,90.0,25.0,0.03646741571174465,0.9927925486700372,1.0,0.9999346335081989
47,90.0,50.0,0.040286644289468675,0.9927822987680694,1.0,0.9999377520580361
48,90.0,75.0,0.04412996528953462,0.9928783313746907,1.0,0.9999417484256099
49,90.0,100.0,0.04314638576088391,0.9928059931913142,1.0,0.9999445144787753
50,100.0,0.0,0.038819768890329426,0.9963149364063385,1.0,0.9999506927611124
51,100.0,25.0,0.045313021095046424,0.996411439311193,1.0,0.9999557740915687
52,100.0,50.0,0.05067869381398383,0.9964320785883339,1.0,0.9999566042561235
53,100.0,75.0,0.043297464819280186,0.9966351331159452,1.0,0.9999611190582177
54,100.0,100.0,0.04084494791746435,0.9977169226688032,1.0,0.9999710540134291
