,load_kW,generation_kW,power_kW,flow_kW,energy_kWh
0,0.054000000000000006,0.0,0.407,-0.353,3.788
1,0.054000000000000006,0.0,0.258,-0.204,3.725
2,0.054000000000000006,0.0,0.258,-0.204,3.686
3,0.054000000000000006,0.0,0.258,-0.204,3.646
4,0.054000000000000006,0.0,0.258,-0.204,3.606
5,0.054000000000000006,0.0,0.258,-0.204,3.567
6,0.054000000000000006,0.0,0.258,-0.204,3.527
7,0.054000000000000006,0.0,0.258,-0.204,3.488
8,0.22,0.0,0.424,-0.204,3.448
9,0.441,0.0,0.645,-0.204,3.383
10,0.275,0.0,0.479,-0.204,3.284
11,0.054000000000000006,0.0,0.258,-0.204,3.211
12,0.054000000000000006,0.0,0.258,-0.204,3.171
13,0.054000000000000006,0.0,0.258,-0.204,3.132
14,0.054000000000000006,0.0,0.258,-0.204,3.092
15,0.22,0.0,0.424,-0.204,3.053
16,0.441,0.0,0.645,-0.204,2.988
17,0.275,0.0,0.479,-0.204,2.889
18,0.054000000000000006,0.0,0.258,-0.204,2.815
19,0.054000000000000006,0.0,0.258,-0.204,2.776
20,0.054000000000000006,0.0,0.258,-0.204,2.736
21,0.054000000000000006,0.0,0.258,-0.204,2.697
22,0.054000000000000006,0.0,0.258,-0.204,2.657
23,0.22,0.0,0.424,-0.204,2.617
24,0.441,0.0,0.645,-0.204,2.552
25,0.275,0.0,0.479,-0.204,2.454
26,0.054000000000000006,0.0,0.258,-0.204,2.38
27,0.054000000000000006,0.0,0.258,-0.204,2.341
28,0.054000000000000006,0.0,0.258,-0.204,2.301
29,0.054000000000000006,0.0,0.258,-0.204,2.261
30,0.054000000000000006,0.0,0.258,-0.204,2.222
31,0.22,0.0,0.424,-0.204,2.182
32,0.22,0.0,0.424,-0.204,2.117
33,0.054000000000000006,0.0,0.258,-0.204,2.052
34,0.275,0.0,0.479,-0.204,2.013
35,0.275,0.0,0.479,-0.204,1.939
36,0.275,0.0,0.479,-0.204,1.866
37,0.054000000000000006,0.0,0.258,-0.204,1.792
38,0.054000000000000006,0.0,0.258,-0.204,1.753
39,0.054000000000000006,0.1,0.158,-0.204,1.713
40,0.054000000000000006,0.1,0.158,-0.204,1.689
41,0.054000000000000006,0.1,0.158,-0.204,1.665
42,0.054000000000000006,0.1,0.158,-0.204,1.641
43,0.22,0.1,0.324,-0.204,1.616
44,0.441,0.1,0.545,-0.204,1.567
45,0.275,0.3,0.179,-0.204,1.483
46,0.054000000000000006,0.3,-0.042,-0.204,1.456
47,0.154,0.3,0.058,-0.204,1.462
48,0.251,0.3,0.155,-0.204,1.453
49,0.203,0.3,0.107,-0.204,1.429
50,0.564,0.3,0.468,-0.204,1.413
51,0.441,0.6,0.045,-0.204,1.341
52,0.275,0.6,-0.121,-0.204,1.334
53,0.054000000000000006,0.6,-0.342,-0.204,1.353
