,load_kW,generation_kW,power_kW,flow_kW,energy_kWh
0,0.051,0.0,0.371,-0.32,3.793
1,0.051,0.0,0.335,-0.284,3.736
2,0.051,0.0,0.343,-0.292,3.685
3,0.051,0.0,0.377,-0.326,3.632
4,0.171,0.0,0.375,-0.204,3.574
5,0.171,0.0,0.383,-0.212,3.517
6,0.051,0.0,0.369,-0.318,3.458
7,0.051,0.0,0.354,-0.303,3.402
8,0.051,0.0,0.388,-0.337,3.347
9,0.051,0.0,0.38,-0.329,3.288
10,0.268,0.0,0.364,-0.096,3.23
11,0.268,0.0,0.36,-0.092,3.174
12,0.051,0.0,0.34,-0.289,3.119
13,0.051,0.0,0.35,-0.299,3.066
14,0.051,0.0,0.366,-0.315,3.013
15,0.051,0.0,0.393,-0.342,2.957
16,0.051,0.0,0.382,-0.331,2.896
17,0.171,0.0,0.362,-0.191,2.838
18,0.38799999999999996,0.0,0.389,-0.001,2.782
19,0.268,0.0,0.376,-0.108,2.723
20,0.051,0.0,0.355,-0.304,2.665
21,0.051,0.0,0.457,-0.406,2.611
22,0.051,0.0,0.461,-0.41,2.541
23,0.051,0.0,0.376,-0.325,2.47
24,0.38799999999999996,0.0,0.401,-0.013,2.412
25,0.38799999999999996,0.0,0.406,-0.018,2.351
26,0.268,0.0,0.371,-0.103,2.289
27,0.051,0.0,0.35,-0.299,2.232
28,0.051,0.0,0.37,-0.319,2.178
29,0.051,0.0,0.371,-0.32,2.121
30,0.051,0.0,0.372,-0.321,2.064
31,0.051,0.0,0.37,-0.319,2.007
32,0.268,0.0,0.371,-0.103,1.951
33,0.268,0.0,0.379,-0.111,1.894
34,0.171,0.0,0.406,-0.235,1.836
35,0.051,0.0,0.404,-0.353,1.773
36,0.051,0.0,0.387,-0.336,1.711
37,0.051,0.0,0.382,-0.331,1.652
38,0.051,0.0,0.37,-0.319,1.593
39,0.051,0.1,0.293,-0.342,1.537
40,0.268,0.1,0.4,-0.232,1.492
41,0.268,0.1,0.631,-0.463,1.43
42,0.051,0.1,0.55,-0.599,1.334
43,3.158,0.1,0.641,2.417,1.249
44,3.3369999999999997,0.1,0.622,2.615,1.151
45,0.051,0.3,0.29,-0.539,1.056
46,0.051,0.3,0.343,-0.592,1.011
47,0.467,0.3,0.378,-0.211,0.958
48,0.8370000000000001,0.3,0.506,0.031,0.901
49,0.9109999999999999,0.3,0.452,0.159,0.823
50,0.051,0.3,0.429,-0.678,0.754
51,0.051,0.6,0.32,-0.869,0.688
52,0.051,0.6,0.092,-0.641,0.639
53,0.051,0.6,0.11,-0.659,0.625
54,0.38799999999999996,0.6,0.074,-0.286,0.608
55,0.38799999999999996,0.6,0.03,-0.242,0.597
56,0.051,0.6,0.174,-0.723,0.592
57,0.051,1.0,-0.09,-0.859,0.565
58,0.051,1.0,-0.361,-0.588,0.579
59,0.051,1.0,-0.161,-0.788,0.635
60,0.051,1.0,-0.211,-0.738,0.659
61,0.268,1.0,-0.268,-0.464,0.692
62,0.268,1.0,-0.23,-0.502,0.733
63,0.268,1.6,-0.761,-0.571,0.768
64,0.051,1.6,-1.079,-0.47,0.885
65,0.051,1.6,-1.089,-0.46,1.05
66,0.051,1.6,-1.074,-0.475,1.217
67,0.051,1.6,-1.107,-0.442,1.382
68,0.051,1.6,-0.997,-0.552,1.551
69,0.051,2.0,-1.401,-0.548,1.704
70,0.38799999999999996,2.0,-1.321,-0.291,1.919
71,0.38799999999999996,2.0,-1.192,-0.42,2.122
72,0.268,2.0,-1.153,-0.579,2.304
73,0.051,2.0,-1.195,-0.754,2.481
74,0.051,2.0,-1.181,-0.768,2.664
75,0.051,2.2,-1.605,-0.544,2.846
76,0.051,2.2,-1.757,-0.392,3.092
77,0.268,2.2,-1.688,-0.244,3.361
78,0.268,2.2,-1.815,-0.117,3.62
79,0.268,2.2,-1.701,-0.231,3.898
80,0.051,2.2,-1.475,-0.674,4.159
81,0.051,2.0,-1.6,-0.349,4.385
82,0.171,2.0,-1.422,-0.407,4.63
83,0.171,2.0,-1.492,-0.337,4.849
84,0.051,2.0,-1.393,-0.556,5.077
85,0.268,2.0,-1.445,-0.287,5.291
86,0.268,2.0,-1.441,-0.291,5.512
87,0.051,1.8,-1.207,-0.542,5.733
88,0.051,1.8,-1.375,-0.374,5.919
89,0.051,1.8,-1.289,-0.46,6.129
90,0.171,1.8,-0.999,-0.63,6.327
91,0.051,1.8,-1.102,-0.647,6.48
92,0.268,1.8,-1.178,-0.354,6.649
93,0.40700000000000003,1.4,-0.853,-0.14,6.83
94,3.2969999999999997,1.4,-0.645,2.542,6.96
95,3.392,1.4,-0.699,2.691,7.059
96,0.405,1.4,-0.762,-0.233,7.167
97,0.505,1.4,-0.807,-0.088,7.283
98,0.6579999999999999,1.4,-0.658,-0.084,7.407
99,0.535,1.0,-0.052,-0.413,7.508
100,0.485,1.0,-0.017,-0.498,7.516
101,0.45,1.0,-0.346,-0.204,7.519
102,0.607,1.0,-0.273,-0.12,7.572
103,0.782,1.0,-0.262,0.044,7.614
104,0.51,1.0,-0.301,-0.189,7.654
105,0.39,0.4,0.314,-0.324,7.7
106,0.39,0.4,0.271,-0.281,7.652
107,0.521,0.4,0.374,-0.253,7.61
108,0.446,0.4,0.537,-0.491,7.553
109,0.6609999999999999,0.4,0.422,-0.161,7.471
110,3.8369999999999997,0.4,0.465,2.972,7.406
111,3.861,0.1,0.749,3.012,7.335
112,0.794,0.1,0.835,-0.141,7.22
113,0.794,0.1,0.921,-0.227,7.092
114,0.951,0.1,0.801,0.05,6.951
115,0.9740000000000001,0.1,0.661,0.213,6.828
116,0.633,0.1,0.776,-0.243,6.726
117,0.675,0.0,0.768,-0.093,6.607
118,0.759,0.0,0.718,0.041,6.49
119,0.575,0.0,0.712,-0.137,6.38
120,3.742,0.0,0.82,2.922,6.27
121,4.083,0.0,0.727,3.356,6.145
122,0.9309999999999999,0.0,0.782,0.149,6.033
123,0.764,0.0,0.751,0.013,5.913
124,0.809,0.0,0.671,0.138,5.798
125,0.7490000000000001,0.0,0.771,-0.022,5.695
126,0.7829999999999999,0.0,0.645,0.138,5.577
127,0.7929999999999999,0.0,0.827,-0.034,5.478
128,0.693,0.0,0.993,-0.3,5.352
129,0.6729999999999999,0.0,0.752,-0.079,5.199
130,0.9890000000000001,0.0,0.819,0.17,5.084
131,0.8740000000000001,0.0,0.884,-0.01,4.958
132,4.072,0.0,0.783,3.289,4.823
133,3.667,0.0,0.776,2.891,4.703
134,0.649,0.0,0.627,0.022,4.584
135,0.38,0.0,0.659,-0.279,4.487
136,0.34,0.0,0.676,-0.336,4.386
137,0.34,0.0,0.697,-0.357,4.283
138,0.051,0.0,0.525,-0.474,4.176
139,0.171,0.0,0.516,-0.345,4.095
140,0.171,0.0,0.44,-0.269,4.016
141,0.268,0.0,0.501,-0.233,3.949
142,0.268,0.0,0.514,-0.246,3.872
143,0.051,0.0,0.371,-0.32,3.793
