,installations_percent,cooperation_percent,load_factor,voltage_factor,lv_load_factor,lv_voltage_factor
0,0.0,0.0,0.06762571075050501,0.973993950076366,1.0,0.9995922243801104
1,0.0,25.0,0.06762571075050501,0.973993950076366,1.0,0.9995922243801104
2,0.0,50.0,0.06762571075050501,0.973993950076366,1.0,0.9995922243801104
3,0.0,75.0,0.06762571075050501,0.973993950076366,1.0,0.9995922243801104
4,0.0,100.0,0.06762571075050501,0.973993950076366,1.0,0.9995922243801104
5,10.0,0.0,0.063780680860148,0.9747215088016916,1.0,0.9996277326762069
6,10.0,25.0,0.063780680860148,0.9747215088016916,1.0,0.9996277326762069
7,10.0,50.0,0.06408423556310261,0.9747278304244036,1.0,0.9996279435911375
8,10.0,75.0,0.06434230158041619,0.9747320633915617,1.0,0.9996283024600808
9,10.0,100.0,0.06516792483560203,0.9747293548064001,1.0,0.9996284024266935
10,20.0,0.0,0.058891934747138094,0.976216147222091,1.0,0.9996717562189287
11,20.0,25.0,0.05919548944835353,0.976222504763142,1.0,0.9996719695003206
12,20.0,50.0,0.06027917872846896,0.9762613059200717,1.0,0.9996722252151008
13,20.0,75.0,0.06147851908337051,0.97627067935183,1.0,0.9996732342567572
14,20.0,100.0,0.06299422721873506,0.9762787914406492,1.0,0.999674324224124
15,30.0,0.0,0.05569869997035758,0.9776002778344735,1.0,0.9997054475709354
16,30.0,25.0,0.056852662979466,0.9776246525338405,1.0,0.9997061221703073
17,30.0,50.0,0.05828528434235329,0.9776391872085998,1.0,0.9997071950886592
18,30.0,75.0,0.05980731242691557,0.9776667888884985,1.0,0.999708432363804
19,30.0,100.0,0.06079139165260397,0.9777071120017845,1.0,0.9997091412496912
20,40.0,0.0,0.05154262367037216,0.9797574910372684,1.0,0.999746612417993
21,40.0,25.0,0.05292986769332084,0.9797654053811796,1.0,0.9997472904785342
22,40.0,50.0,0.05564491619573851,0.9797829118584063,1.0,0.9997494296319902
23,40.0,75.0,0.056635315405217095,0.979843225008716,1.0,0.9997503299438116
24,40.0,100.0,0.058125545869807005,0.9798523785734045,1.0,0.9997517885416491
25,50.0,0.0,0.04817423665389154,0.9816662407818364,1.0,0.9997791409185536
26,50.0,25.0,0.04973178492396006,0.981685875827612,1.0,0.9997804020269382
27,50.0,50.0,0.05273583124829189,0.9817215093109686,1.0,0.9997826085096031
28,50.0,75.0,0.054510668962927486,0.981803222304336,1.0,0.9997842240458331
29,50.0,100.0,0.05645101242920448,0.9818439065195272,1.0,0.9997848133586775
30,60.0,0.0,0.043921522564899736,0.9840213841880133,1.0,0.9998198557485392
31,60.0,25.0,0.04650810571673983,0.9841510240782673,1.0,0.9998215007931339
32,60.0,50.0,0.04901421317915261,0.9841469738638583,1.0,0.9998236045758109
33,60.0,75.0,0.051751786199448944,0.9840890144322901,1.0,0.9998254409759608
34,60.0,100.0,0.054578788878335595,0.9841121040172228,1.0,0.9998274955288076
35,70.0,0.0,0.04020336363205455,0.986200721854807,1.0,0.9998573799407834
36,70.0,25.0,0.04351119934506085,0.9862788721496419,1.0,0.9998597089062855
37,70.0,50.0,0.04610943474765606,0.9862949913834583,1.0,0.999862434806245
38,70.0,75.0,0.048394197274574766,0.9862630567071867,1.0,0.9998639147991869
39,70.0,100.0,0.0525447727540704,0.9863534015639809,1.0,0.9998678789668013
40,80.0,0.0,0.037660895994278736,0.9895911935895387,1.0,0.9998977020236621
41,80.0,25.0,0.04176318785491151,0.9897491442660272,1.0,0.9999004804646648
42,80.0,50.0,0.04424381744353621,0.989681382837699,1.0,0.9999031118090594
43,80.0,75.0,0.048318159335929166,0.9896825487204676,1.0,0.9999053937704784
44,80.0,100.0,0.05068375762150508,0.9898223651624796,1.0,0.9999096440604979
45,90.0,0.0,0.03526664448482779,0.9927008391405009,1.0,0.9999346412631853
46,90.0,25.0,0.039564269946662046,0.9927676919505921,1.0,0.9999376719312332
47,90.0,50.0,0.04345713052653036,0.992806549704292,1.0,0.9999399744762502
48,90.0,75.0,0.047436913121943536,0.992902557109535,1.0,0.9999441516155838
49,90.0,100.0,0.04364649767897179,0.9929305370805237,1.0,0.9999474107059525
50,100.0,0.0,0.04149548050656508,0.9973385436026461,1.0,0.9999698773516538
51,100.0,25.0,0.047955366594302766,0.9973650834743214,1.0,0.9999728372617479
52,100.0,50.0,0.05321660735529733,0.9973926232433848,1.0,0.9999726062723804
53,100.0,75.0,0.04506016214634085,0.9975017563528656,1.0,0.999975695164729
54,100.0,100.0,0.04169993673192888,0.9977390234347834,1.0,0.999982467918213
